Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,Delivery_Time,customer_answered_call,customer_response_time,customer_availability,visitor_pass_status,society_security_level,gate_wait_time,driver_status,previous_failed_deliveries,address_confidence,preferred_delivery_slot,estimated_arrival_delay,driver_experience,pickup_delay_minutes,hour_of_day,day_of_week,is_weekend,arrival_within_preferred_slot,customer_reachability_score,society_accessibility_score,driver_reliability_score
36,4.6,2,3,1,0,130,1,93,2,1,2,13,1,0,57,1,5,12,15.0,18,4,False,1,84.5,14,100
30,4.7,3,1,0,0,180,1,25,1,0,0,4,1,3,90,2,1,6,10.0,20,2,True,0,95.83333333333333,62,97
20,4.9,3,1,0,0,100,1,45,1,1,1,13,1,0,66,0,3,2,5.0,21,4,False,0,92.5,74,100
35,4.6,3,3,0,0,125,0,281,1,1,0,15,1,0,62,0,2,10,5.0,17,2,True,0,10.0,40,100
31,4.6,4,1,0,0,120,1,20,0,0,0,3,1,0,56,0,0,12,15.0,21,5,False,0,96.66666666666667,64,100
20,4.7,4,1,0,0,105,1,48,0,0,0,1,1,1,92,1,2,12,10.0,21,2,True,1,92.0,68,100
36,4.8,5,2,0,3,100,1,119,0,1,0,11,1,1,86,0,6,10,5.0,22,4,False,0,80.16666666666667,48,100
31,4.7,3,2,1,0,120,0,193,2,0,2,1,1,1,84,0,11,3,5.0,22,0,False,0,10.0,38,100
37,4.7,1,1,0,3,185,0,505,1,0,2,4,1,1,55,2,6,4,10.0,19,3,True,0,10.0,32,100
35,4.8,3,3,0,0,210,1,92,3,1,0,8,1,0,80,1,3,8,5.0,17,6,False,1,84.66666666666667,54,100
24,4.7,2,0,0,1,18,1,24,0,0,0,2,1,0,61,1,11,1,15.0,14,2,True,0,96.0,66,100
36,4.8,0,1,0,3,135,1,43,1,1,2,8,1,0,87,2,4,14,15.0,20,0,False,0,92.83333333333333,24,100
21,4.7,5,3,1,0,135,1,113,2,0,0,1,1,2,56,1,5,11,15.0,17,4,False,1,81.16666666666667,68,100
29,4.0,5,1,0,0,185,0,244,0,0,0,2,1,1,80,2,3,7,5.0,19,3,True,0,10.0,66,100
26,4.7,1,0,1,0,120,1,115,0,1,1,8,1,3,78,1,5,10,5.0,13,4,False,0,80.83333333333333,84,100
22,4.6,3,1,2,0,75,1,23,0,1,0,10,1,1,85,2,12,3,10.0,22,6,False,0,96.16666666666667,50,100
34,4.7,2,3,1,0,115,1,94,3,0,2,4,1,2,80,0,1,7,5.0,17,0,False,0,84.33333333333333,32,100
37,4.7,0,1,1,0,215,1,14,2,1,0,18,1,0,82,0,9,9,10.0,20,0,False,0,97.66666666666667,34,100
28,4.6,4,3,1,0,85,1,115,3,2,0,25,1,3,70,1,0,5,15.0,17,0,False,1,80.83333333333333,20,95
31,4.6,3,3,0,3,180,1,40,1,0,0,1,1,1,95,0,2,2,5.0,17,5,False,0,93.33333333333333,68,99
26,4.9,0,2,0,0,65,1,48,2,0,0,4,2,2,68,1,10,9,15.0,8,0,False,0,92.0,62,68
32,4.5,2,2,0,3,135,1,11,0,0,0,3,1,1,69,1,3,15,5.0,9,3,True,0,98.16666666666667,64,100
35,4.3,3,1,0,0,175,1,107,1,1,2,12,1,1,56,0,1,11,10.0,20,3,True,0,82.16666666666667,16,100
28,4.6,5,1,1,0,75,1,31,0,0,2,4,1,2,87,0,12,9,15.0,19,4,False,0,94.83333333333333,32,100
22,4.5,5,3,0,3,135,1,36,1,1,0,18,1,0,69,1,11,8,15.0,17,5,False,1,94.0,34,100
29,4.8,2,1,0,0,105,0,355,0,1,0,13,1,1,63,1,0,7,5.0,21,4,False,1,10.0,44,100
36,4.9,4,0,0,0,115,1,89,0,0,2,3,1,0,87,1,3,15,10.0,14,1,False,0,85.16666666666667,34,100
24,4.6,5,2,1,0,85,0,276,0,0,0,2,1,1,91,0,2,11,15.0,9,1,False,0,10.0,66,100
23,4.1,3,2,0,0,90,0,302,0,1,0,8,1,1,71,2,8,15,15.0,8,1,False,1,10.0,54,100
23,5.0,0,2,1,0,145,1,43,0,0,0,3,1,1,70,2,13,3,15.0,23,3,True,0,92.83333333333333,64,100
21,4.6,3,3,0,0,120,1,118,2,0,1,3,1,0,78,2,3,1,5.0,17,1,False,0,80.33333333333333,94,100
32,4.0,3,1,0,3,155,1,95,0,0,0,3,3,2,72,2,12,12,15.0,20,0,False,0,84.16666666666667,64,24
37,4.4,3,1,0,0,155,1,46,0,2,2,15,1,0,84,2,4,10,15.0,19,6,False,0,92.33333333333333,10,100
36,4.8,1,2,0,0,210,1,90,2,0,0,4,1,3,63,2,5,13,10.0,23,3,True,0,85.0,62,100
20,4.9,5,3,0,0,105,1,27,2,0,0,1,1,0,57,2,1,9,5.0,17,1,False,0,95.5,68,100
23,4.9,3,3,0,3,75,1,40,0,2,0,20,2,1,96,1,0,7,5.0,17,0,False,1,93.33333333333333,30,69
35,4.9,0,3,0,0,46,1,36,0,0,2,2,1,0,55,2,2,7,10.0,17,6,False,0,94.0,36,100
28,4.9,4,1,0,3,75,1,25,0,0,2,3,1,0,94,1,13,15,15.0,20,0,False,1,95.83333333333333,34,100
34,4.8,5,0,0,0,150,1,76,0,0,0,3,1,0,73,0,14,9,5.0,15,4,False,1,87.33333333333333,64,100
24,5.0,4,0,0,1,15,1,41,2,0,2,4,1,1,89,0,3,11,15.0,12,5,False,1,93.16666666666667,32,100
31,4.7,3,2,1,0,130,1,34,2,0,0,2,0,1,96,1,3,3,10.0,8,2,True,0,94.33333333333333,66,21
35,4.9,0,2,0,0,90,1,10,0,0,0,4,1,1,67,2,9,14,10.0,0,1,False,1,98.33333333333333,62,100
29,4.6,5,3,0,3,65,1,8,0,0,2,3,1,0,70,2,7,8,15.0,17,6,False,0,98.66666666666667,34,100
27,5.0,0,3,0,0,130,1,41,0,0,0,3,1,1,85,0,3,11,10.0,16,5,False,1,93.16666666666667,64,100
27,4.8,3,0,1,3,85,1,32,0,0,2,2,1,0,67,0,13,11,10.0,11,2,True,0,94.66666666666667,36,100
27,5.0,3,1,1,0,90,1,23,1,0,0,4,1,2,68,0,6,12,5.0,20,6,False,0,96.16666666666667,62,100
24,4.6,1,0,2,0,105,1,26,0,1,0,8,1,2,84,0,14,2,5.0,13,4,False,1,95.66666666666667,54,94
31,4.9,2,0,0,3,185,1,77,0,0,0,2,1,0,95,0,13,10,15.0,11,3,True,0,87.16666666666667,66,100
23,4.9,4,2,0,3,115,1,79,1,0,1,2,1,1,56,0,0,14,-1435.0,23,6,False,0,86.83333333333333,96,100
34,4.9,4,2,0,0,125,1,113,1,0,1,2,1,0,75,0,12,15,15.0,22,0,False,0,81.16666666666667,96,100
32,4.9,3,2,0,0,135,1,91,1,0,0,3,1,1,83,0,1,9,15.0,23,3,True,0,84.83333333333333,64,100
23,4.8,1,3,0,0,215,1,23,0,1,0,10,1,0,75,2,7,12,15.0,18,0,False,0,96.16666666666667,50,100
27,4.7,2,2,0,3,90,1,113,0,1,2,13,1,1,55,1,12,3,15.0,22,6,False,1,81.16666666666667,14,100
36,4.8,4,2,0,0,145,1,65,0,1,2,18,1,2,64,2,6,3,-1425.0,23,4,False,0,89.16666666666667,4,96
36,4.6,4,3,1,0,90,0,320,0,1,0,14,1,0,90,0,3,12,5.0,17,0,False,0,10.0,42,100
34,4.6,2,2,1,0,75,1,94,0,0,0,1,1,0,93,2,0,13,10.0,23,2,True,0,84.33333333333333,68,100
34,4.7,1,2,1,0,95,1,89,1,2,0,32,1,0,96,2,12,2,15.0,22,2,True,0,85.16666666666667,6,100
27,4.6,5,2,2,0,55,1,7,3,1,0,19,0,0,82,1,4,3,5.0,10,5,False,0,98.83333333333333,32,26
29,4.9,2,3,1,0,100,1,98,0,0,2,3,1,0,71,0,5,10,5.0,18,1,False,0,83.66666666666667,34,100
30,4.9,2,2,1,0,23,1,40,1,1,1,16,1,1,92,2,13,1,5.0,10,1,False,1,93.33333333333333,68,97
37,4.7,5,2,1,0,80,0,471,0,0,0,1,1,0,96,1,5,3,15.0,23,0,False,1,10.0,68,100
22,4.9,0,3,1,0,130,1,38,1,0,2,4,1,2,63,1,2,3,10.0,17,5,False,1,93.66666666666667,32,96
35,4.7,4,3,1,0,135,1,24,1,0,2,1,1,0,67,1,10,13,10.0,18,0,False,1,96.0,38,100
25,4.2,5,2,0,0,145,1,119,1,1,1,10,1,4,96,1,14,5,5.0,8,5,False,0,80.16666666666667,80,90
39,4.5,0,3,0,0,80,1,47,1,1,2,8,1,0,100,1,2,11,10.0,18,6,False,1,92.16666666666667,24,100
24,4.8,2,2,0,3,55,1,14,1,0,2,3,1,0,99,0,10,10,5.0,22,1,False,0,97.66666666666667,34,100
35,4.9,1,2,1,0,145,1,38,1,1,2,15,1,1,72,0,0,2,10.0,23,6,False,0,93.66666666666667,10,99
39,4.8,2,1,1,0,135,1,82,1,0,1,4,2,0,75,2,13,15,15.0,21,4,False,0,86.33333333333333,92,90
39,4.9,3,1,0,0,125,1,43,1,0,0,3,1,2,78,0,1,8,5.0,21,3,True,0,92.83333333333333,64,100
27,4.4,0,3,1,0,155,1,104,1,1,1,15,1,1,95,2,10,9,10.0,17,6,False,0,82.66666666666667,70,100
28,5.0,0,1,0,0,155,1,68,2,0,0,4,2,2,91,0,5,6,5.0,20,3,True,0,88.66666666666667,62,62
33,4.1,2,1,1,0,155,1,22,0,0,2,3,1,0,91,2,2,7,5.0,19,1,False,0,96.33333333333333,34,100
23,5.0,2,2,1,3,11,1,26,0,0,2,3,1,1,70,0,2,7,-1430.0,23,6,False,0,95.66666666666667,34,100
30,4.4,1,2,1,0,185,1,54,2,0,0,1,1,2,73,1,3,10,-1435.0,23,5,False,1,91.0,68,100
34,4.7,1,1,1,0,180,1,10,0,0,2,4,2,2,81,2,14,9,15.0,19,3,True,0,98.33333333333333,32,68
26,4.6,2,2,1,3,85,1,78,3,0,1,3,1,2,57,1,12,1,15.0,10,5,False,0,87.0,94,92
25,4.8,0,1,0,0,150,1,79,2,0,0,2,1,1,84,2,10,9,5.0,20,3,True,0,86.83333333333333,66,100
25,4.0,2,2,0,0,130,0,241,3,0,2,4,1,0,75,0,12,8,10.0,23,4,False,0,10.0,32,100
36,4.7,2,2,1,0,145,1,60,0,0,0,4,1,0,62,1,12,8,5.0,23,5,False,1,90.0,62,100
23,4.8,1,1,0,0,160,0,543,1,1,0,11,1,1,66,2,11,2,15.0,19,2,True,0,10.0,48,99
28,4.8,4,2,1,0,85,1,65,0,0,0,1,1,1,95,1,3,5,15.0,10,4,False,0,89.16666666666667,68,100
22,4.7,4,1,0,0,75,0,568,2,1,0,18,1,1,72,0,1,1,10.0,21,6,False,0,10.0,34,97
28,4.6,1,3,0,0,215,1,88,0,0,1,1,1,0,75,1,8,7,15.0,18,2,True,1,85.33333333333333,98,100
28,4.5,4,3,2,0,75,1,103,0,0,2,2,1,1,55,1,7,4,5.0,17,0,False,1,82.83333333333333,36,100
27,4.7,5,2,0,3,65,1,108,3,0,1,2,1,1,58,1,4,1,10.0,8,3,True,0,82.0,96,97
31,5.0,5,3,0,0,160,1,106,0,1,2,17,1,0,58,0,9,5,10.0,17,2,True,0,82.33333333333333,6,100
36,4.2,0,3,0,0,155,0,202,0,1,1,10,1,0,95,1,2,5,15.0,17,3,True,1,10.0,80,100
26,5.0,4,2,1,3,90,1,54,1,1,0,15,1,2,68,2,10,7,5.0,22,5,False,0,91.0,40,100
26,4.5,3,1,1,0,110,1,25,0,0,0,3,2,0,77,2,11,1,5.0,19,2,True,0,95.83333333333333,64,62
38,4.3,5,2,0,0,165,1,13,0,1,0,16,2,3,75,0,12,7,5.0,23,2,True,0,97.83333333333333,38,59
33,4.9,1,1,0,0,195,1,37,3,1,2,17,1,2,60,1,9,5,5.0,21,3,True,1,93.83333333333333,6,100
22,4.3,3,2,0,3,115,1,84,3,0,0,4,1,3,61,0,11,12,5.0,22,3,True,0,86.0,62,100
20,4.7,4,2,0,0,60,0,216,0,0,0,4,1,3,81,2,9,2,5.0,22,2,True,0,10.0,62,89
25,4.3,0,1,2,0,195,1,68,2,0,2,1,1,2,58,0,6,15,10.0,19,0,False,0,88.66666666666667,38,100
39,5.0,0,2,2,0,90,1,37,0,1,0,19,1,1,58,1,4,15,10.0,8,3,True,0,93.83333333333333,32,100
38,4.6,3,2,1,3,130,0,481,0,0,2,1,1,2,87,2,0,12,5.0,9,5,False,1,10.0,38,100
20,5.0,0,2,2,3,140,1,57,0,0,2,1,1,0,61,1,12,2,15.0,22,4,False,1,90.5,38,100
32,3.8,5,1,0,1,44,1,64,0,0,1,4,1,2,55,2,13,9,10.0,20,6,False,0,89.33333333333333,92,100
35,4.9,2,1,1,3,130,1,110,0,0,1,4,1,1,91,1,5,10,15.0,20,5,False,1,81.66666666666667,92,100
33,4.8,4,2,0,0,100,0,209,0,1,0,11,1,3,95,0,1,8,15.0,9,5,False,0,10.0,48,100
24,4.8,1,0,0,0,145,1,75,0,0,1,1,1,2,55,1,1,3,10.0,11,6,False,0,87.5,98,96
28,4.8,0,2,0,0,90,1,108,0,0,1,4,1,2,61,2,10,1,5.0,10,5,False,1,82.0,92,92
35,4.3,2,1,2,0,160,0,254,0,0,0,1,1,3,98,1,0,13,5.0,20,0,False,1,10.0,68,100
32,5.0,1,3,1,0,35,0,505,1,0,2,1,1,0,87,1,8,1,5.0,18,0,False,1,10.0,38,100
29,4.5,3,2,1,1,60,1,44,0,0,0,2,1,2,80,1,12,13,15.0,22,0,False,1,92.66666666666667,66,100
21,4.6,1,1,0,0,120,1,95,1,0,2,3,0,0,57,1,12,1,5.0,19,3,True,1,84.16666666666667,34,22
39,4.2,0,1,0,0,215,1,63,0,0,0,2,2,0,96,2,6,8,15.0,19,4,False,0,89.5,66,76
20,4.8,3,3,1,0,85,1,86,0,0,0,3,2,0,58,0,14,10,10.0,18,0,False,0,85.66666666666667,64,80
26,4.5,2,1,0,0,125,1,115,0,0,0,1,1,1,84,1,11,14,10.0,19,1,False,1,80.83333333333333,68,100
37,4.6,4,1,1,0,130,1,47,0,0,2,4,2,0,71,1,8,12,5.0,20,3,True,1,92.16666666666667,32,84
23,4.8,0,1,0,0,135,1,30,1,1,0,19,1,1,99,0,0,10,5.0,20,5,False,0,95.0,32,100
34,4.9,2,1,0,0,240,1,6,0,1,2,9,1,2,99,0,9,9,10.0,20,5,False,0,99.0,22,100
20,5.0,4,1,1,0,50,1,14,0,1,2,8,1,1,77,2,3,14,10.0,20,3,True,0,97.66666666666667,24,100
22,4.7,5,2,0,0,90,1,37,0,1,2,11,1,0,100,2,13,12,15.0,23,0,False,0,93.83333333333333,18,100
39,4.6,3,3,2,0,170,1,64,2,0,0,1,1,1,93,1,14,14,15.0,17,0,False,1,89.33333333333333,68,100
28,4.6,3,2,1,3,90,1,55,3,1,2,14,1,1,67,2,7,14,15.0,22,4,False,0,90.83333333333333,12,100
26,4.6,3,1,0,3,90,1,111,1,0,1,2,1,0,90,1,7,2,10.0,19,1,False,1,81.5,96,100
36,4.6,5,2,1,0,135,1,107,3,0,2,3,1,1,80,1,10,15,5.0,9,0,False,0,82.16666666666667,34,100
22,4.7,2,1,1,3,125,0,225,3,1,1,11,1,1,87,1,7,4,15.0,21,4,False,1,10.0,78,100
34,4.0,2,3,1,0,155,0,433,0,0,2,3,1,3,65,1,6,8,15.0,17,0,False,1,10.0,34,100
34,4.6,3,2,0,0,110,0,555,0,0,1,2,1,0,73,2,11,2,15.0,9,5,False,1,10.0,96,100
22,5.0,5,3,0,0,21,1,22,1,0,2,3,1,1,90,2,9,1,15.0,17,3,True,0,96.33333333333333,34,97
22,5.0,0,1,0,0,125,1,15,0,0,2,2,1,0,94,1,0,9,10.0,21,6,False,1,97.5,36,100
28,5.0,3,2,1,0,95,0,493,0,0,1,1,1,2,63,1,7,11,-1425.0,23,1,False,1,10.0,98,100
37,3.8,3,1,2,0,175,0,183,3,1,1,15,3,1,89,0,14,3,10.0,20,6,False,0,10.0,70,11
26,4.7,5,3,0,3,100,1,32,1,0,2,2,1,1,71,1,0,4,15.0,17,4,False,1,94.66666666666667,36,100
35,3.7,0,2,1,0,170,1,115,1,0,0,4,1,2,70,1,9,4,-1435.0,23,0,False,1,80.83333333333333,62,98
38,4.6,2,1,1,0,135,1,48,1,0,2,1,1,2,62,0,10,4,5.0,20,2,True,0,92.0,38,98
25,4.9,2,3,0,0,125,1,31,2,1,0,11,1,0,87,0,8,5,15.0,18,0,False,0,94.83333333333333,48,100
34,4.8,5,2,1,0,28,0,291,0,0,0,1,1,2,59,0,4,10,15.0,10,4,False,0,10.0,68,100
26,4.6,1,1,1,0,215,0,571,0,0,0,4,1,0,87,0,2,12,10.0,19,3,True,0,10.0,62,100
23,4.9,4,2,0,3,125,0,454,1,0,0,1,1,0,82,0,10,2,5.0,22,0,False,0,10.0,68,100
22,4.9,5,1,0,3,90,1,80,1,1,0,10,1,0,100,2,0,6,10.0,21,0,False,0,86.66666666666667,50,100
21,5.0,4,2,0,0,55,0,489,0,0,0,3,1,0,77,0,8,7,10.0,22,5,False,0,10.0,64,100
29,4.8,2,3,0,3,75,0,242,2,0,1,3,1,0,63,2,2,4,10.0,17,3,True,0,10.0,94,100
30,4.8,5,0,0,0,150,0,505,0,1,0,10,2,2,95,0,2,1,10.0,13,1,False,1,10.0,50,52
22,4.9,1,1,0,0,100,1,53,0,0,1,2,1,1,87,0,9,14,5.0,19,2,True,0,91.16666666666667,96,100
28,4.5,1,3,0,0,185,1,30,0,0,0,4,1,0,85,2,9,13,5.0,18,6,False,0,95.0,62,100
21,4.6,0,1,1,0,100,1,73,3,2,1,30,1,1,90,2,4,1,15.0,20,0,False,0,87.83333333333333,40,97
32,3.7,1,2,0,0,165,1,68,2,0,1,4,1,1,86,1,4,12,5.0,22,1,False,1,88.66666666666667,92,100
31,4.1,1,1,1,3,205,1,108,2,0,2,4,1,0,64,2,3,1,5.0,21,0,False,0,82.0,32,100
30,4.6,5,1,0,3,150,0,301,1,0,0,3,2,1,97,1,8,12,15.0,20,2,True,1,10.0,64,79
22,4.9,0,0,1,0,135,1,49,1,0,2,2,1,2,69,1,1,7,15.0,14,4,False,0,91.83333333333333,36,100
24,4.3,5,2,0,0,130,0,220,0,0,0,2,0,0,95,0,0,3,15.0,9,6,False,0,10.0,66,26
33,4.7,3,2,1,0,145,1,81,2,1,2,18,2,1,97,2,1,12,-1430.0,23,4,False,0,86.5,4,79
20,4.7,2,3,2,0,110,0,311,0,2,2,17,1,2,59,1,7,3,15.0,18,6,False,1,10.0,6,96
39,4.9,2,1,0,0,130,1,60,0,0,0,4,1,2,58,0,6,1,5.0,21,5,False,0,90.0,62,92
28,4.3,5,1,0,0,155,1,54,2,0,2,2,2,0,87,2,13,14,10.0,19,4,False,0,91.0,36,88
24,4.8,1,2,1,0,120,1,66,1,0,2,3,1,4,68,2,11,11,-1435.0,23,6,False,0,89.0,34,100
33,4.8,0,0,0,0,175,1,61,1,0,2,1,1,2,60,0,4,5,5.0,13,1,False,1,89.83333333333333,38,100
27,4.7,4,1,1,3,75,0,563,2,0,0,1,1,5,69,1,5,13,10.0,21,1,False,1,10.0,68,100
39,4.9,2,2,1,0,100,1,112,0,1,2,12,1,0,58,0,11,13,15.0,22,6,False,0,81.33333333333333,16,100
39,4.6,3,2,1,0,145,0,563,1,1,1,18,1,1,66,2,9,1,5.0,22,3,True,0,10.0,64,97
33,4.8,5,3,0,0,210,1,50,1,0,2,1,1,4,82,0,3,9,5.0,18,6,False,0,91.66666666666667,38,98
35,4.7,5,1,0,0,200,1,19,1,0,0,2,1,0,61,0,14,13,5.0,19,1,False,0,96.83333333333333,66,100
33,4.6,3,1,0,0,235,1,41,1,2,2,19,1,1,60,2,8,3,5.0,20,6,False,0,93.16666666666667,2,100
34,4.9,4,2,1,0,95,1,50,0,0,0,1,1,3,67,0,1,9,15.0,22,2,True,0,91.66666666666667,68,100
39,4.3,5,2,0,3,130,1,20,0,0,0,2,1,4,93,0,11,3,5.0,10,6,False,0,96.66666666666667,66,86
29,4.8,0,3,0,0,145,1,80,1,0,0,3,1,0,58,2,10,15,10.0,18,5,False,0,86.66666666666667,64,100
35,4.9,3,3,0,0,30,1,38,1,1,2,12,1,1,98,0,2,4,15.0,17,4,False,0,93.66666666666667,16,100
30,5.0,0,2,1,3,95,1,67,1,0,0,2,1,0,71,0,13,14,10.0,23,5,False,0,88.83333333333333,66,100
21,4.6,4,2,0,3,17,1,6,0,1,0,8,2,3,59,1,10,14,15.0,23,3,True,1,99.0,54,73
30,4.8,5,2,0,3,100,0,525,0,0,0,4,1,0,88,2,5,13,15.0,9,4,False,1,10.0,62,100
21,4.8,0,0,0,0,140,1,18,0,0,0,1,1,0,86,0,14,2,10.0,13,5,False,1,97.0,68,100
30,4.8,5,1,0,3,140,1,22,1,0,2,1,1,1,77,0,2,6,15.0,21,4,False,0,96.33333333333333,38,100
30,4.2,3,3,0,0,195,1,9,2,0,2,1,1,2,98,1,8,9,5.0,18,6,False,1,98.5,38,100
26,4.8,4,2,1,0,110,1,29,0,0,0,3,1,1,68,1,14,11,5.0,10,5,False,0,95.16666666666667,64,100
31,4.7,4,1,0,3,115,0,596,0,0,1,1,1,1,68,2,5,8,5.0,19,0,False,0,10.0,98,100
20,4.8,4,2,0,0,90,1,80,0,1,2,12,1,2,70,1,0,4,5.0,22,4,False,1,86.66666666666667,16,98
28,4.9,2,2,2,3,75,1,5,0,0,1,1,1,2,57,2,2,5,5.0,8,3,True,1,99.16666666666667,98,100
28,4.6,4,1,1,0,100,1,99,2,1,1,8,1,2,92,0,5,9,10.0,20,0,False,0,83.5,84,100
20,4.6,3,1,0,0,125,1,38,0,1,2,12,1,0,57,2,8,15,15.0,19,1,False,0,93.66666666666667,16,100
34,4.9,2,2,1,0,115,1,5,1,0,0,4,1,2,69,2,10,14,10.0,22,1,False,0,99.16666666666667,62,100
27,4.6,3,1,2,3,145,1,11,1,0,2,4,1,2,61,2,10,15,5.0,20,0,False,0,98.16666666666667,32,100
35,4.2,2,1,1,0,155,0,242,0,0,1,3,1,2,78,1,5,9,15.0,21,6,False,1,10.0,94,100
34,4.9,1,3,1,0,205,0,182,1,0,2,3,1,1,80,2,12,4,5.0,17,3,True,0,10.0,34,100
30,4.9,5,2,2,0,95,1,77,0,1,1,15,2,1,79,1,13,7,15.0,22,0,False,1,87.16666666666667,70,69
30,4.8,5,3,0,0,150,1,89,2,0,0,1,1,0,79,0,12,6,5.0,18,1,False,0,85.16666666666667,68,100
27,4.8,3,2,0,0,90,1,71,0,0,0,2,1,2,62,0,9,1,-1425.0,23,6,False,0,88.16666666666667,66,92
25,4.8,3,1,0,3,95,1,113,2,0,2,1,1,2,65,2,5,13,10.0,19,6,False,0,81.16666666666667,38,100
28,4.5,2,3,1,0,100,1,61,0,0,1,1,2,0,71,1,10,3,5.0,19,1,False,1,89.83333333333333,98,66
33,4.2,0,1,1,0,225,1,24,3,0,1,4,1,0,77,1,8,15,10.0,19,3,True,1,96.0,92,100
22,4.1,3,2,0,3,95,1,110,0,0,2,2,1,0,77,1,14,15,5.0,22,2,True,1,81.66666666666667,36,100
35,4.9,3,1,0,0,130,1,89,1,2,0,20,3,0,84,2,0,14,15.0,20,0,False,0,85.16666666666667,30,38
27,4.9,5,2,0,0,65,0,224,0,1,2,19,1,1,87,1,2,9,15.0,9,5,False,0,10.0,2,100
38,5.0,4,1,0,3,40,1,100,0,1,2,16,1,0,85,1,7,9,15.0,21,0,False,1,83.33333333333333,8,100
30,4.7,5,1,1,0,135,1,38,1,1,1,16,1,0,95,2,12,3,10.0,21,3,True,0,93.66666666666667,68,100
38,4.9,3,0,0,0,30,1,5,2,0,2,2,1,0,73,0,11,1,15.0,11,4,False,0,99.16666666666667,36,100
37,4.9,4,1,1,3,105,1,87,0,0,0,1,1,0,74,2,3,11,15.0,19,5,False,0,85.5,68,100
20,4.9,4,1,1,0,60,1,85,1,1,2,9,1,0,100,2,6,13,10.0,19,3,True,0,85.83333333333333,22,100
37,4.5,3,1,0,0,140,1,99,2,2,0,19,1,0,58,2,0,8,10.0,20,5,False,0,83.5,32,100
21,4.6,0,3,0,0,190,1,101,1,1,2,15,1,1,89,1,2,6,5.0,17,4,False,1,83.16666666666667,10,100
33,4.2,5,1,0,0,200,0,190,3,2,0,26,1,2,92,0,4,1,15.0,20,3,True,0,10.0,18,92
21,4.9,1,1,1,0,140,1,15,0,1,0,12,1,2,84,1,11,4,10.0,21,5,False,1,97.5,46,98
39,5.0,4,3,0,0,115,1,103,2,0,1,3,1,2,75,1,2,6,5.0,18,6,False,1,82.83333333333333,94,100
38,4.6,5,0,0,0,130,1,41,0,0,2,3,2,0,84,1,9,7,10.0,13,0,False,0,93.16666666666667,34,74
23,4.7,3,0,0,0,140,0,238,0,0,0,3,1,0,58,0,14,6,15.0,14,4,False,1,10.0,64,100
30,5.0,4,3,1,3,105,1,58,3,0,1,1,1,0,60,1,14,7,10.0,17,4,False,1,90.33333333333333,98,100
