Agent_Age,Agent_Rating,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,customer_answered_call,customer_response_time,customer_availability,visitor_pass_status,society_security_level,gate_wait_time,driver_status,previous_failed_deliveries,address_confidence,preferred_delivery_slot,estimated_arrival_delay,driver_experience,delivery_failure
31,4.9,2022-04-03,15:10:00,15:15:00,Fog,Medium ,motorcycle ,Metropolitian ,80,,,,,,,,,,,,,
31,4.8,2022-03-25,22:45:00,22:55:00,Stormy,Low ,scooter ,Metropolitian ,115,,,,,,,,,,,,,
25,5.0,2022-02-13,22:10:00,22:25:00,Cloudy,Low ,motorcycle ,Metropolitian ,75,,,,,,,,,,,,,
28,4.8,2022-04-04,20:45:00,20:55:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,,,,,,,,,,,,,
31,4.7,2022-03-26,22:50:00,23:05:00,Cloudy,Low ,motorcycle ,Metropolitian ,80,,,,,,,,,,,,,
24,4.7,2022-03-10,17:55:00,18:00:00,Sunny,Medium ,motorcycle ,Urban ,95,,,,,,,,,,,,,
39,4.6,2022-02-14,22:45:00,23:00:00,Sunny,Low ,motorcycle ,Metropolitian ,135,,,,,,,,,,,,,
39,4.2,2022-03-02,20:35:00,20:50:00,Fog,Jam ,scooter ,Semi-Urban ,245,,,,,,,,,,,,,
32,4.5,2022-03-26,09:25:00,09:40:00,Windy,Low ,scooter ,Other,100,,,,,,,,,,,,,
36,4.7,2022-03-13,20:15:00,20:20:00,Cloudy,Jam ,motorcycle ,Metropolitian ,150,,,,,,,,,,,,,
25,4.8,2022-03-29,22:25:00,22:35:00,Sandstorms,Low ,scooter ,Urban ,90,,,,,,,,,,,,,
33,4.9,2022-03-30,21:55:00,22:00:00,Sunny,Jam ,scooter ,Metropolitian ,110,,,,,,,,,,,,,
30,4.4,2022-03-12,22:40:00,22:55:00,Cloudy,Low ,scooter ,Metropolitian ,170,,,,,,,,,,,,,
33,5.0,2022-03-31,23:50:00,23:55:00,Sandstorms,Low ,motorcycle ,Urban ,120,,,,,,,,,,,,,
36,4.9,2022-03-17,15:25:00,15:40:00,Fog,Medium ,scooter ,Metropolitian ,85,,,,,,,,,,,,,
21,4.8,2022-02-15,10:20:00,10:30:00,Sandstorms,Low ,van,Metropolitian ,70,,,,,,,,,,,,,
39,4.9,2022-02-15,20:55:00,21:00:00,Stormy,Jam ,motorcycle ,Metropolitian ,150,,,,,,,,,,,,,
23,4.8,2022-03-07,10:40:00,10:50:00,Stormy,Low ,scooter ,Metropolitian ,15,,,,,,,,,,,,,
35,4.8,2022-03-28,15:55:00,16:05:00,Fog,Medium ,scooter ,Urban ,80,,,,,,,,,,,,,
39,4.6,2022-03-16,20:10:00,20:15:00,Cloudy,Jam ,scooter ,Metropolitian ,180,,,,,,,,,,,,,
22,4.7,2022-03-17,12:10:00,12:15:00,Sunny,High ,scooter ,Urban ,90,,,,,,,,,,,,,
32,4.6,2022-03-15,15:30:00,15:45:00,Fog,Medium ,scooter ,Metropolitian ,85,,,,,,,,,,,,,
24,4.8,2022-03-25,22:10:00,22:15:00,Sandstorms,Low ,motorcycle ,Urban ,75,,,,,,,,,,,,,
29,4.7,2022-03-09,10:35:00,10:45:00,Fog,Low ,motorcycle ,Metropolitian ,85,,,,,,,,,,,,,
26,4.7,2022-03-05,23:50:00,00:05:00,Fog,Low ,motorcycle ,Metropolitian ,50,,,,,,,,,,,,,
20,4.5,2022-02-11,21:10:00,21:25:00,Fog,Jam ,motorcycle ,Metropolitian ,135,,,,,,,,,,,,,
35,4.1,2022-03-12,20:25:00,20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,,,,,,,,,,,,,
39,4.6,2022-03-29,20:50:00,21:00:00,Fog,Jam ,scooter ,Metropolitian ,220,,,,,,,,,,,,,
34,4.7,2022-03-19,12:35:00,12:45:00,Windy,High ,van,Metropolitian ,140,,,,,,,,,,,,,
27,4.7,2022-03-10,21:00:00,21:15:00,Cloudy,Jam ,scooter ,Metropolitian ,210,,,,,,,,,,,,,
30,4.8,2022-02-16,23:40:00,23:55:00,Windy,Low ,motorcycle ,Metropolitian ,125,,,,,,,,,,,,,
25,4.4,2022-03-27,18:15:00,18:20:00,Cloudy,Medium ,scooter ,Metropolitian ,195,,,,,,,,,,,,,
25,4.7,2022-03-27,18:20:00,18:25:00,Stormy,Medium ,motorcycle ,Urban ,100,,,,,,,,,,,,,
30,5.0,2022-03-24,11:45:00,11:50:00,Stormy,High ,motorcycle ,Metropolitian ,155,,,,,,,,,,,,,
24,4.6,2022-03-09,20:45:00,20:55:00,Stormy,Jam ,motorcycle ,Metropolitian ,65,,,,,,,,,,,,,
39,4.8,2022-03-03,21:55:00,22:10:00,Stormy,Jam ,motorcycle ,Metropolitian ,140,,,,,,,,,,,,,
25,4.8,2022-02-15,12:45:00,12:50:00,Windy,High ,scooter ,Urban ,95,,,,,,,,,,,,,
37,4.6,2022-02-18,23:30:00,23:45:00,Fog,Low ,motorcycle ,Urban ,210,,,,,,,,,,,,,
24,5.0,2022-03-01,10:50:00,10:55:00,Fog,Low ,motorcycle ,Metropolitian ,115,,,,,,,,,,,,,
25,4.2,2022-03-23,21:25:00,21:40:00,Stormy,Jam ,motorcycle ,Metropolitian ,195,,,,,,,,,,,,,
32,4.6,2022-04-01,10:10:00,10:20:00,Stormy,Low ,motorcycle ,Metropolitian ,125,,,,,,,,,,,,,
34,4.7,2022-02-16,23:00:00,23:05:00,Sandstorms,Low ,scooter ,Metropolitian ,75,,,,,,,,,,,,,
38,4.9,2022-03-11,08:40:00,08:55:00,Cloudy,Low ,scooter ,Urban ,75,,,,,,,,,,,,,
36,4.8,2022-03-14,17:50:00,17:55:00,Sunny,Medium ,van,Metropolitian ,75,,,,,,,,,,,,,
25,5.0,2022-03-18,20:25:00,20:40:00,Stormy,Jam ,motorcycle ,Metropolitian ,75,,,,,,,,,,,,,
29,5.0,2022-04-01,22:20:00,22:25:00,Sunny,Low ,motorcycle ,Metropolitian ,90,,,,,,,,,,,,,
36,4.7,2022-04-04,23:40:00,23:50:00,Sandstorms,Low ,van,Metropolitian ,145,,,,,,,,,,,,,
33,4.7,2022-03-11,23:25:00,23:30:00,Fog,Low ,motorcycle ,Metropolitian ,100,,,,,,,,,,,,,
36,4.4,2022-03-13,12:40:00,12:55:00,Cloudy,High ,scooter ,Metropolitian ,195,,,,,,,,,,,,,
21,4.8,2022-03-04,23:30:00,23:45:00,Windy,Low ,motorcycle ,Metropolitian ,95,,,,,,,,,,,,,
25,4.8,2022-03-26,23:55:00,00:10:00,Cloudy,Low ,scooter ,Urban ,19,,,,,,,,,,,,,
23,4.8,2022-03-16,22:50:00,23:00:00,Windy,Low ,motorcycle ,Metropolitian ,85,,,,,,,,,,,,,
25,4.6,2022-03-01,10:25:00,10:40:00,Stormy,Low ,motorcycle ,Urban ,75,,,,,,,,,,,,,
24,4.3,2022-03-15,08:45:00,09:00:00,Sandstorms,Low ,motorcycle ,Urban ,95,,,,,,,,,,,,,
27,4.6,2022-03-04,21:25:00,21:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,,,,,,,,,,,,,
23,4.8,2022-03-18,22:35:00,22:40:00,Cloudy,Low ,scooter ,Urban ,110,,,,,,,,,,,,,
21,4.3,2022-03-23,20:10:00,20:20:00,Fog,Jam ,scooter ,Metropolitian ,210,,,,,,,,,,,,,
27,4.7,2022-03-15,10:55:00,11:10:00,Sandstorms,Low ,scooter ,Urban ,60,,,,,,,,,,,,,
32,4.2,2022-03-08,20:35:00,20:45:00,Cloudy,Jam ,motorcycle ,Metropolitian ,190,,,,,,,,,,,,,
25,4.6,2022-03-10,23:20:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian ,115,,,,,,,,,,,,,
39,4.7,2022-02-11,10:35:00,10:50:00,Cloudy,Low ,scooter ,Metropolitian ,75,,,,,,,,,,,,,
27,4.6,2022-03-14,23:45:00,23:50:00,Sunny,Low ,motorcycle ,Metropolitian ,120,,,,,,,,,,,,,
39,3.8,2022-03-16,19:55:00,20:00:00,Windy,Jam ,motorcycle ,Metropolitian ,185,,,,,,,,,,,,,
31,4.8,2022-03-01,22:15:00,22:25:00,Sandstorms,Low ,scooter ,Metropolitian ,120,,,,,,,,,,,,,
31,4.8,2022-03-01,23:10:00,23:15:00,Sunny,Low ,van,Metropolitian ,65,,,,,,,,,,,,,
20,4.8,2022-03-30,09:15:00,09:30:00,Cloudy,Low ,motorcycle ,Other,80,,,,,,,,,,,,,
36,4.9,2022-03-02,18:25:00,18:35:00,Cloudy,Medium ,motorcycle ,Urban ,210,,,,,,,,,,,,,
20,4.9,2022-03-20,22:10:00,22:20:00,Sandstorms,Low ,motorcycle ,Metropolitian ,85,,,,,,,,,,,,,
24,4.6,2022-04-03,20:50:00,21:05:00,Cloudy,Jam ,motorcycle ,Metropolitian ,125,,,,,,,,,,,,,
39,4.2,2022-03-29,18:45:00,18:50:00,Fog,Medium ,scooter ,Metropolitian ,195,,,,,,,,,,,,,
37,4.8,2022-03-17,14:55:00,15:05:00,Sunny,High ,scooter ,Metropolitian ,90,,,,,,,,,,,,,
32,4.9,2022-03-17,16:50:00,17:00:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,140,,,,,,,,,,,,,
22,4.5,2022-02-15,22:20:00,22:35:00,Sandstorms,Low ,scooter ,Metropolitian ,90,,,,,,,,,,,,,
23,4.9,2022-03-18,00:00:00,00:15:00,Windy,Low ,scooter ,Metropolitian ,90,,,,,,,,,,,,,
33,4.7,2022-03-08,21:10:00,21:20:00,Fog,Jam ,scooter ,Metropolitian ,245,,,,,,,,,,,,,
23,,2022-02-17,23:25:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian ,75,,,,,,,,,,,,,
27,4.6,2022-03-31,23:30:00,23:35:00,Sunny,Low ,motorcycle ,Metropolitian ,105,,,,,,,,,,,,,
34,4.7,2022-03-01,14:20:00,14:35:00,Sunny,High ,scooter ,Metropolitian ,115,,,,,,,,,,,,,
26,5.0,2022-04-03,10:15:00,10:25:00,Fog,Low ,scooter ,Urban ,55,,,,,,,,,,,,,
31,4.6,2022-03-24,21:20:00,21:35:00,Cloudy,Jam ,motorcycle ,Metropolitian ,125,,,,,,,,,,,,,
32,4.9,2022-03-07,08:50:00,08:55:00,Fog,Low ,motorcycle ,Metropolitian ,90,,,,,,,,,,,,,
27,4.7,2022-03-09,09:00:00,09:05:00,Cloudy,Low ,motorcycle ,Metropolitian ,70,,,,,,,,,,,,,
21,4.9,2022-03-12,17:45:00,18:00:00,Windy,Medium ,motorcycle ,Metropolitian ,180,,,,,,,,,,,,,
28,4.8,2022-03-24,23:10:00,23:15:00,Fog,Low ,motorcycle ,Metropolitian ,90,,,,,,,,,,,,,
24,4.9,2022-03-30,16:35:00,16:50:00,Fog,Medium ,scooter ,Urban ,85,,,,,,,,,,,,,
33,4.4,2022-03-05,08:30:00,08:40:00,Sandstorms,Low ,motorcycle ,Metropolitian ,140,,,,,,,,,,,,,
20,4.6,2022-03-18,20:35:00,20:50:00,Fog,Jam ,motorcycle ,Metropolitian ,220,,,,,,,,,,,,,
31,4.3,2022-03-13,23:25:00,23:40:00,Windy,Low ,motorcycle ,Metropolitian ,100,,,,,,,,,,,,,
36,5.0,2022-03-31,19:55:00,20:05:00,Fog,Jam ,motorcycle ,Metropolitian ,175,,,,,,,,,,,,,
31,4.2,2022-03-23,21:20:00,21:30:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,50,,,,,,,,,,,,,
39,4.1,2022-03-24,21:45:00,21:50:00,Stormy,Jam ,scooter ,Metropolitian ,170,,,,,,,,,,,,,
29,4.6,2022-03-12,19:40:00,19:55:00,Sunny,Jam ,van,Metropolitian ,85,,,,,,,,,,,,,
29,4.6,2022-03-03,14:50:00,15:00:00,Sandstorms,High ,scooter ,Urban ,115,,,,,,,,,,,,,
37,4.9,2022-03-09,18:10:00,18:20:00,Fog,Medium ,motorcycle ,Metropolitian ,135,,,,,,,,,,,,,
33,4.7,2022-03-17,12:20:00,12:30:00,Cloudy,High ,motorcycle ,Urban ,130,,,,,,,,,,,,,
31,3.9,2022-03-18,23:40:00,23:50:00,Cloudy,Low ,scooter ,Metropolitian ,175,,,,,,,,,,,,,
37,4.6,2022-03-19,12:50:00,12:55:00,Windy,High ,motorcycle ,Urban ,205,,,,,,,,,,,,,
26,4.4,2022-03-07,23:20:00,23:30:00,Sandstorms,Low ,motorcycle ,Other,115,,,,,,,,,,,,,
24,4.6,2022-03-04,17:50:00,18:00:00,Stormy,Medium ,motorcycle ,Metropolitian ,150,,,,,,,,,,,,,
23,4.8,2022-04-03,10:25:00,10:35:00,Windy,Low ,scooter ,Metropolitian ,95,,,,,,,,,,,,,
36,4.9,2022-03-11,09:10:00,09:25:00,Windy,Low ,scooter ,Metropolitian ,135,,,,,,,,,,,,,
39,4.8,2022-04-01,12:30:00,12:45:00,Cloudy,High ,motorcycle ,Metropolitian ,140,,,,,,,,,,,,,
20,4.7,2022-03-20,17:10:00,17:20:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,120,,,,,,,,,,,,,
20,5.0,2022-03-31,19:15:00,19:30:00,Cloudy,Jam ,motorcycle ,Urban ,180,,,,,,,,,,,,,
29,4.3,2022-02-13,23:50:00,23:55:00,Sandstorms,Low ,motorcycle ,Metropolitian ,140,,,,,,,,,,,,,
36,4.8,2022-03-29,18:45:00,18:50:00,Fog,Medium ,motorcycle ,Urban ,155,,,,,,,,,,,,,
36,4.0,2022-03-16,20:40:00,20:45:00,Sunny,Jam ,motorcycle ,Metropolitian ,220,,,,,,,,,,,,,
22,4.8,2022-03-14,22:10:00,22:25:00,Windy,Low ,scooter ,Metropolitian ,75,,,,,,,,,,,,,
38,4.4,2022-03-31,17:20:00,17:25:00,Windy,Medium ,motorcycle ,Metropolitian ,165,,,,,,,,,,,,,
39,4.9,2022-03-17,19:55:00,20:10:00,Fog,Jam ,motorcycle ,Metropolitian ,150,,,,,,,,,,,,,
24,4.9,2022-03-28,18:15:00,18:25:00,Stormy,Medium ,scooter ,Metropolitian ,110,,,,,,,,,,,,,
30,4.1,2022-04-04,23:50:00,00:00:00,Fog,Low ,motorcycle ,Metropolitian ,215,,,,,,,,,,,,,
35,4.8,2022-03-04,17:25:00,17:35:00,Fog,Medium ,motorcycle ,Metropolitian ,240,,,,,,,,,,,,,
33,4.5,2022-03-04,23:45:00,00:00:00,Stormy,Low ,van,Metropolitian ,95,,,,,,,,,,,,,
39,4.7,2022-02-14,18:30:00,18:35:00,Windy,Medium ,motorcycle ,Urban ,105,,,,,,,,,,,,,
31,4.3,2022-03-25,21:35:00,21:45:00,Windy,Jam ,motorcycle ,Metropolitian ,220,,,,,,,,,,,,,
37,4.5,2022-03-17,08:40:00,08:55:00,Windy,Low ,scooter ,Metropolitian ,130,,,,,,,,,,,,,
37,4.7,2022-04-01,22:35:00,22:40:00,Windy,Low ,scooter ,Metropolitian ,26,,,,,,,,,,,,,
33,5.0,2022-03-19,11:45:00,11:50:00,Windy,High ,motorcycle ,Metropolitian ,155,,,,,,,,,,,,,
24,4.6,2022-03-07,23:25:00,23:40:00,Stormy,Low ,scooter ,Urban ,19,,,,,,,,,,,,,
33,4.5,2022-03-02,19:10:00,19:15:00,Sunny,Jam ,scooter ,Metropolitian ,90,,,,,,,,,,,,,
39,4.7,2022-02-16,18:45:00,19:00:00,Fog,Medium ,motorcycle ,Metropolitian ,190,,,,,,,,,,,,,
37,4.6,2022-03-29,18:15:00,18:25:00,Cloudy,Medium ,motorcycle ,Metropolitian ,160,,,,,,,,,,,,,
25,4.9,2022-03-07,22:30:00,22:35:00,Sandstorms,Low ,scooter ,Metropolitian ,85,,,,,,,,,,,,,
28,4.8,2022-03-03,19:00:00,19:05:00,Fog,Medium ,scooter ,Urban ,55,,,,,,,,,,,,,
38,4.7,2022-03-30,13:10:00,13:20:00,Windy,High ,motorcycle ,Metropolitian ,155,,,,,,,,,,,,,
31,4.6,2022-03-19,17:55:00,18:05:00,Windy,Medium ,motorcycle ,Metropolitian ,125,,,,,,,,,,,,,
25,4.8,2022-03-15,19:50:00,20:05:00,Cloudy,Jam ,motorcycle ,Metropolitian ,110,,,,,,,,,,,,,
35,4.9,2022-03-02,21:15:00,21:20:00,Fog,Jam ,motorcycle ,Metropolitian ,215,,,,,,,,,,,,,
39,4.7,2022-03-31,19:35:00,19:45:00,Fog,Jam ,motorcycle ,Metropolitian ,210,,,,,,,,,,,,,
38,3.9,2022-03-06,19:10:00,19:20:00,Stormy,Jam ,motorcycle ,Metropolitian ,210,,,,,,,,,,,,,
35,4.7,2022-03-21,21:20:00,21:30:00,Fog,Jam ,motorcycle ,Metropolitian ,170,,,,,,,,,,,,,
29,4.7,2022-03-01,09:50:00,10:05:00,Sandstorms,Low ,motorcycle ,Metropolitian ,85,,,,,,,,,,,,,
27,4.6,2022-03-24,20:35:00,20:40:00,Stormy,Jam ,scooter ,Metropolitian ,125,,,,,,,,,,,,,
38,4.3,2022-04-04,21:15:00,21:25:00,Sandstorms,Jam ,motorcycle ,Semi-Urban ,270,,,,,,,,,,,,,
36,4.9,2022-03-02,23:00:00,23:15:00,Windy,Low ,motorcycle ,Metropolitian ,105,,,,,,,,,,,,,
26,4.0,2022-04-01,15:00:00,15:10:00,Cloudy,High ,motorcycle ,Metropolitian ,170,,,,,,,,,,,,,
26,4.1,2022-02-12,19:45:00,19:50:00,Fog,Jam ,motorcycle ,Metropolitian ,180,,,,,,,,,,,,,
36,4.9,2022-04-05,17:45:00,17:55:00,Sunny,Medium ,motorcycle ,Metropolitian ,85,,,,,,,,,,,,,
21,4.7,2022-03-03,09:00:00,09:10:00,Sunny,Low ,motorcycle ,Metropolitian ,80,,,,,,,,,,,,,
35,4.7,2022-04-06,20:00:00,20:05:00,Sunny,Jam ,van,Metropolitian ,135,,,,,,,,,,,,,
20,4.5,2022-03-17,12:50:00,12:55:00,Fog,High ,motorcycle ,Metropolitian ,130,,,,,,,,,,,,,
23,4.6,2022-03-31,21:40:00,21:55:00,Fog,Jam ,motorcycle ,Metropolitian ,230,,,,,,,,,,,,,
37,5.0,2022-02-17,19:55:00,20:05:00,Sunny,Jam ,motorcycle ,Metropolitian ,145,,,,,,,,,,,,,
26,4.8,2022-03-09,19:35:00,19:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,115,,,,,,,,,,,,,
29,5.0,2022-03-27,22:35:00,22:50:00,Sandstorms,Low ,scooter ,Urban ,55,,,,,,,,,,,,,
26,4.9,2022-03-25,17:10:00,17:25:00,Stormy,Medium ,motorcycle ,Metropolitian ,140,,,,,,,,,,,,,
29,4.8,2022-03-11,19:35:00,19:40:00,Cloudy,Jam ,motorcycle ,Metropolitian ,125,,,,,,,,,,,,,
29,4.7,2022-03-03,10:30:00,10:45:00,Sandstorms,Low ,motorcycle ,Metropolitian ,55,,,,,,,,,,,,,
21,4.9,2022-02-15,18:10:00,18:20:00,Windy,Medium ,scooter ,Metropolitian ,130,,,,,,,,,,,,,
22,4.3,2022-03-07,10:10:00,10:25:00,Stormy,Low ,motorcycle ,Metropolitian ,115,,,,,,,,,,,,,
31,4.0,2022-03-18,17:50:00,18:05:00,Fog,Medium ,motorcycle ,Metropolitian ,195,,,,,,,,,,,,,
20,4.5,2022-04-03,08:50:00,09:00:00,Fog,Low ,motorcycle ,Other,55,,,,,,,,,,,,,
30,3.9,2022-04-06,19:55:00,20:10:00,Stormy,Jam ,van,Metropolitian ,160,,,,,,,,,,,,,
36,4.8,2022-03-06,17:55:00,18:10:00,Fog,Medium ,motorcycle ,Metropolitian ,215,,,,,,,,,,,,,
24,4.7,2022-03-19,15:30:00,15:40:00,Fog,Medium ,scooter ,Metropolitian ,65,,,,,,,,,,,,,
32,4.7,2022-03-21,09:40:00,09:50:00,Windy,Low ,van,Metropolitian ,125,,,,,,,,,,,,,
25,5.0,2022-03-19,18:20:00,18:25:00,Windy,Medium ,motorcycle ,Metropolitian ,135,,,,,,,,,,,,,
27,4.5,2022-03-28,15:35:00,15:50:00,Windy,Medium ,scooter ,Metropolitian ,145,,,,,,,,,,,,,
32,4.1,2022-03-29,18:15:00,18:30:00,Sandstorms,Medium ,motorcycle ,Metropolitian ,165,,,,,,,,,,,,,
23,4.7,2022-03-17,16:55:00,17:00:00,Fog,Medium ,motorcycle ,Urban ,19,,,,,,,,,,,,,
39,4.4,2022-03-29,18:10:00,18:15:00,Sunny,Medium ,motorcycle ,Metropolitian ,165,,,,,,,,,,,,,
20,4.8,2022-03-21,19:15:00,19:20:00,Fog,Jam ,motorcycle ,Metropolitian ,140,,,,,,,,,,,,,
20,4.8,2022-03-04,18:25:00,18:35:00,Windy,Medium ,van,Other,75,,,,,,,,,,,,,
29,4.6,2022-02-15,20:30:00,20:45:00,Stormy,Jam ,scooter ,Metropolitian ,145,,,,,,,,,,,,,
26,4.9,2022-03-29,22:55:00,23:00:00,Stormy,Low ,scooter ,Metropolitian ,90,,,,,,,,,,,,,
25,5.0,2022-02-13,10:55:00,11:00:00,Stormy,Low ,motorcycle ,Metropolitian ,70,,,,,,,,,,,,,
34,4.7,2022-04-03,16:00:00,16:15:00,Windy,Medium ,motorcycle ,Metropolitian ,150,,,,,,,,,,,,,
